sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
0,it1_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,-0.189819336,0.452687143,0,True,0.602734690,0.602734690
1,it1_B008,hello_world_nodbg,0,benign,0,config_008/vfpga_c008_0.bin,0.072875977,0.518210935,1,False,0.730248885,0.730248885
2,it1_B011,user_interrupts_nodbg,0,benign,0,config_011/vfpga_c011_0.bin,-0.227294922,0.443419652,0,True,0.585943739,0.585943739
3,it1_B013,multithreading_aes_nodbg,0,benign,0,config_013/vfpga_c013_0.bin,0.175903320,0.543862788,1,False,0.784961612,0.784961612
4,it1_B019,perf_fpga,0,benign,0,config_019/vfpga_c019_0.bin,-0.174194336,0.456561202,0,True,0.609838185,0.609838185
5,it1_B029,euclidean_nodbg,0,benign,0,config_029/vfpga_c029_0.bin,-0.060546875,0.484867904,0,True,0.663331914,0.663331914
6,it1_B030,hello_world,0,benign,0,config_030/vfpga_c030_0.bin,0.290771484,0.572184995,1,False,0.849064407,0.849064407
7,it1_B035,multithreading_aes,0,benign,0,config_035/vfpga_c035_0.bin,0.898315430,0.710603200,1,False,1.239956522,1.239956522
8,it1_B044,euclidean_nodbg,0,benign,0,config_044/vfpga_c044_0.bin,0.012817383,0.503204302,1,False,0.699576407,0.699576407
9,it1_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.235717773,0.441341906,0,True,0.582217632,0.582217632
10,it1_B062,multitenancy_aes,0,benign,0,config_062/vfpga_c062_0.bin,0.537841797,0.631310222,1,False,0.997799699,0.997799699
11,it1_B066,euclidean,0,benign,0,config_066/vfpga_c066_0.bin,0.434814453,0.607022727,1,False,0.934003499,0.934003499
12,it1_B072,perf_fpga_nodbg,0,benign,0,config_072/vfpga_c072_0.bin,-0.596801758,0.355075742,0,True,0.438622398,0.438622398
13,it2_B002,multitenancy_aes,0,benign,0,config_002/vfpga_c002_0.bin,0.708740234,0.670122738,1,False,1.109034627,1.109034627
14,it2_B003,user_interrupts,0,benign,0,config_003/vfpga_c003_0.bin,0.087402344,0.521836687,1,False,0.737802945,0.737802945
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.527465820,0.628891861,1,False,0.991261779,0.991261779
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.297607422,0.573857527,1,False,0.852981546,0.852981546
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.046752930,0.511686104,1,False,0.716796850,0.716796850
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.150024414,0.537435915,1,False,0.770970169,0.770970169
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.237304688,0.559049325,1,False,0.818822259,0.818822259
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.191650391,0.547766482,1,False,0.793556601,0.793556601
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,-0.039672852,0.490083088,0,True,0.673507484,0.673507484
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.377807617,0.406655782,0,True,0.521980579,0.521980579
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,0.114868164,0.528685507,1,False,0.752229694,0.752229694
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.541992188,0.632275730,1,True,0.458429699,0.458429699
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.610351562,0.648020994,1,True,0.433832185,0.433832185
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.996093750,0.730289870,1,True,0.314313741,0.314313741
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.615966797,0.649300705,1,True,0.431859334,0.431859334
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.815795898,0.693343198,1,True,0.366230167,0.366230167
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,1.360839844,0.795896160,1,True,0.228286553,0.228286553
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.918212891,0.714677830,1,True,0.335923425,0.335923425
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.792846680,0.688442241,1,True,0.373323856,0.373323856
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,0.590332031,0.643441325,1,True,0.440924436,0.440924436
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,1.227539062,0.773387562,1,True,0.256974982,0.256974982
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,1.529174805,0.821885546,1,True,0.196154132,0.196154132
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.723876953,0.673460177,1,True,0.395326414,0.395326414
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,1.050170898,0.740807715,1,True,0.300014181,0.300014181
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.489624023,0.620017858,1,True,0.478006998,0.478006998
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.884887695,0.707834047,1,True,0.345545610,0.345545610
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,1.311157227,0.787706737,1,True,0.238629419,0.238629419
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.236572266,0.558868766,1,True,0.581840599,0.581840599
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.927856445,0.716640202,1,True,0.333181374,0.333181374
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.648925781,0.656768349,1,True,0.420423912,0.420423912
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.712646484,0.670985672,1,True,0.399007495,0.399007495
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,1.035644531,0.738008742,1,True,0.303799609,0.303799609
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,0.237060547,0.558989141,1,True,0.581625232,0.581625232
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,1.198608398,0.768277133,1,True,0.263604761,0.263604761
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,0.506225586,0.623921248,1,True,0.471731124,0.471731124
