sample_index,sample_id,app_name,class_label,class_name,ro_count,bitstream_path,logit,probability,predicted_label,correct,per_sample_bce_loss,per_sample_log_loss
15,it2_B005,multithreading_aes,0,benign,0,config_005/vfpga_c005_0.bin,0.214843750,0.553505288,1,False,0.806327723,0.806327723
16,it2_B006,euclidean,0,benign,0,config_006/vfpga_c006_0.bin,0.140625000,0.535098429,1,False,0.765929570,0.765929570
17,it2_B009,hls_vadd_nodbg,0,benign,0,config_009/vfpga_c009_0.bin,0.126953125,0.531695722,1,False,0.758637029,0.758637029
18,it2_B048,user_interrupts,0,benign,0,config_048/vfpga_c048_0.bin,0.070312500,0.517570887,1,False,0.728921284,0.728921284
19,it2_B051,euclidean,0,benign,0,config_051/vfpga_c051_0.bin,0.093750000,0.523420349,1,False,0.741120411,0.741120411
20,it2_B052,cosine,0,benign,0,config_052/vfpga_c052_0.bin,0.023437500,0.505859107,1,False,0.704934594,0.704934594
21,it2_B053,hello_world_nodbg,0,benign,0,config_053/vfpga_c053_0.bin,0.033203125,0.508300019,1,False,0.709886543,0.709886543
22,it2_B064,perf_fpga,0,benign,0,config_064/vfpga_c064_0.bin,-0.275390625,0.431584186,0,True,0.564902061,0.564902061
23,it2_B070,multitenancy_aes_nodbg,0,benign,0,config_070/vfpga_c070_0.bin,-0.218750000,0.445529535,0,True,0.589741738,0.589741738
24,it1_S008,ro_12000,1,standalone,12000,config_083/vfpga_c083_0.bin,0.126953125,0.531695722,1,True,0.631683904,0.631683904
25,it1_S009,ro_14000,1,standalone,14000,config_084/vfpga_c084_0.bin,0.009765625,0.502441387,1,True,0.688276289,0.688276289
26,it1_S027,ro_19000,1,standalone,19000,config_102/vfpga_c102_0.bin,0.011718750,0.502929654,1,True,0.687304972,0.687304972
27,it1_S036,ro_8192,1,standalone,8192,config_111/vfpga_c111_0.bin,0.189453125,0.547222122,1,True,0.602900485,0.602900485
28,it1_S037,ro_10000,1,standalone,10000,config_112/vfpga_c112_0.bin,0.181640625,0.545285714,1,True,0.606445376,0.606445376
29,it1_S040,ro_16000,1,standalone,16000,config_115/vfpga_c115_0.bin,0.355468750,0.587943105,1,True,0.531125095,0.531125095
30,it1_S055,ro_16000,1,standalone,16000,config_130/vfpga_c130_0.bin,0.095703125,0.523907536,1,True,0.646440067,0.646440067
31,it1_S057,ro_19000,1,standalone,19000,config_132/vfpga_c132_0.bin,0.195312500,0.548673494,1,True,0.600251742,0.600251742
32,it1_S069,ro_14000,1,standalone,14000,config_144/vfpga_c144_0.bin,-0.109375000,0.472683477,0,False,0.749329297,0.749329297
33,it1_S074,ro_22000,1,standalone,22000,config_149/vfpga_c149_0.bin,0.294921875,0.573200660,1,True,0.556519431,0.556519431
34,it2_S013,ro_21000,1,standalone,21000,config_088/vfpga_c088_0.bin,0.337890625,0.583678040,1,True,0.538405750,0.538405750
35,it2_S015,ro_8000,1,standalone,8000,config_090/vfpga_c090_0.bin,0.078125000,0.519521322,1,True,0.654847426,0.654847426
36,it2_S020,ro_13000,1,standalone,13000,config_095/vfpga_c095_0.bin,0.314453125,0.577971845,1,True,0.548230123,0.548230123
37,it2_S030,ro_8000,1,standalone,8000,config_105/vfpga_c105_0.bin,0.158203125,0.539468497,1,True,0.617170890,0.617170890
38,it2_S036,ro_14000,1,standalone,14000,config_111/vfpga_c111_0.bin,0.166015625,0.541408843,1,True,0.613580567,0.613580567
39,it2_S042,ro_20000,1,standalone,20000,config_117/vfpga_c117_0.bin,0.230468750,0.557363503,1,True,0.584537644,0.584537644
40,it2_S045,ro_8000,1,standalone,8000,config_120/vfpga_c120_0.bin,0.099609375,0.524881774,1,True,0.644582234,0.644582234
41,it2_S047,ro_10000,1,standalone,10000,config_122/vfpga_c122_0.bin,0.070312500,0.517570887,1,True,0.658608784,0.658608784
42,it2_S049,ro_12000,1,standalone,12000,config_124/vfpga_c124_0.bin,0.097656250,0.524394678,1,True,0.645510675,0.645510675
43,it2_S050,ro_13000,1,standalone,13000,config_125/vfpga_c125_0.bin,0.156250000,0.538983221,1,True,0.618070839,0.618070839
44,it2_S051,ro_14000,1,standalone,14000,config_126/vfpga_c126_0.bin,0.195312500,0.548673494,1,True,0.600251742,0.600251742
45,it2_S064,ro_12000,1,standalone,12000,config_139/vfpga_c139_0.bin,-0.068359375,0.482916808,0,False,0.727910880,0.727910880
46,it2_S068,ro_16000,1,standalone,16000,config_143/vfpga_c143_0.bin,0.130859375,0.532668239,1,True,0.629856490,0.629856490
47,it2_S071,ro_19000,1,standalone,19000,config_146/vfpga_c146_0.bin,0.027343750,0.506835512,1,True,0.679568763,0.679568763
